Price,Close,High,Low,Open,Volume
Ticker,JPM,JPM,JPM,JPM,JPM
Date,,,,,
2015-01-02,46.720924377441406,47.07232000352218,46.4069080486036,46.48915048834863,12600000
2015-01-05,45.27048110961914,46.56392310108532,45.03123188877428,46.39944104430178,20100600
2015-01-06,44.09665298461914,45.42000151928178,43.62562994806041,45.33775908489017,29074100
2015-01-07,44.16395950317383,44.777036081841985,43.86489650535107,44.777036081841985,23843200
2015-01-08,45.15086364746094,45.53216911435258,44.83685006491595,44.83685006491595,16971100
2015-01-09,44.365814208984375,45.44991370824351,44.32843205771516,45.39757812605155,15396200
2015-01-12,43.98451614379883,44.410678985862894,43.56582859191325,44.320958391267375,15455200
2015-01-13,43.992000579833984,44.63498404773222,43.64060197480211,44.30601416997431,21644700
2015-01-14,42.47425842285156,43.991996332825735,41.32286966600691,43.991996332825735,49602300
2015-01-15,41.113521575927734,42.32472104866943,40.74716962166376,41.66678430023389,42458100
2015-01-16,41.81631088256836,41.86864646248044,40.85183602063103,40.86678945090237,29368900
2015-01-20,41.65183639526367,42.160241743053476,41.43501588033768,41.898563778195154,23477700
2015-01-21,41.78641128540039,42.18266727420545,41.26305254323337,41.45744431847503,21842400
2015-01-22,43.05742645263672,43.16209763525922,41.83874871479794,42.15276511474127,31423500
2015-01-23,42.377052307128906,43.26676003080465,42.362098876637475,43.15461358023179,15458300
2015-01-26,42.4443473815918,42.608832288419386,42.018184533970896,42.175191298446876,12577700
2015-01-27,42.0181884765625,42.324726744001175,41.689218632039875,41.90603914737053,15220500
2015-01-28,40.934085845947266,42.377059328591464,40.934085845947266,42.33219902968427,24354400
2015-01-29,41.62192916870117,41.78641408923852,40.88175273043488,41.322869047450226,20393300
2015-01-30,40.657447814941406,41.494819959691036,40.64996967364238,41.113517463623204,26943700
2015-02-02,41.47239685058594,41.60697489142237,40.57521086236828,40.769599781312216,20308900
2015-02-03,42.4069709777832,42.45182842967434,41.77146283925706,41.80136970856851,18812500
2015-02-04,42.15276336669922,42.668643967692326,42.07799620215809,42.10790306797454,14934100
2015-02-05,42.4443473815918,42.646214443950484,42.212573453977974,42.51163640237802,11293900
2015-02-06,43.28171920776367,43.909749111410356,43.02004126960906,43.17704803250183,25214000
2015-02-09,43.22938537597656,43.43872773500309,42.788269082259426,42.93032241844518,14372400
2015-02-10,43.70787811279297,43.89479172379747,43.40133990482861,43.67797125053416,16367300
2015-02-11,43.64059829711914,43.857418816082905,43.24434227093265,43.408827195950124,13061900
2015-02-12,44.53778839111328,44.64245958841042,43.775180286707595,44.05928985942569,23211300
2015-02-13,44.61254119873047,45.02375344205081,44.365816704813746,44.45553444332205,16479100
2015-02-17,44.93404006958008,44.96394693791218,44.35087039748364,44.38077726581575,15308800
2015-02-18,44.38825225830078,44.93403976734903,44.20133861059621,44.93403976734903,14278100
2015-02-19,44.2835807800293,44.47049442650185,43.96208907993042,44.22376989623755,11256500
