Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2015-01-02,39.85845184326172,40.42103894931218,39.67092497568934,39.77321265360761,27913900
2015-01-05,39.49190902709961,39.83286893637475,39.42371509424517,39.52600274186114,39673900
2015-01-06,38.912288665771484,39.84993284378193,38.818523597637046,39.534543911420876,36447900
2015-01-07,39.406681060791016,39.60273381213821,38.775903208920376,39.19357981997882,29114100
2015-01-08,40.565948486328125,40.70233313745503,39.82435714905475,39.84992825499524,29645200
2015-01-09,40.22499084472656,40.76200690606546,39.97779586559205,40.58300263617484,23944200
2015-01-12,39.722076416015625,40.52333929222615,39.51750101265745,40.42104833887965,23651900
2015-01-13,39.51749801635742,40.83872517273108,39.26177715571529,40.037465608941154,35270600
2015-01-14,39.17652130126953,39.4151968410114,38.88670355789202,39.17652130126953,29719600
2015-01-15,38.767391204833984,39.53455724682774,38.70772309619759,39.39817253399196,32750800
2015-01-16,39.41520690917969,39.44930063642363,38.50313060748315,38.622470033671014,35695300
2015-01-20,39.54307174682617,39.764698891955724,38.84409983064967,39.466355158384005,36161900
2015-01-21,39.1424446105957,39.329974792194434,38.76738749906599,39.15949310452902,39081100
2015-01-22,40.17384338378906,40.18236600195738,39.27881889945257,39.534539716167764,35898000
2015-01-23,40.216453552246094,40.395457756826026,39.89253885943538,40.3698866566477,26211600
2015-01-26,40.07156753540039,40.17385850191363,39.41521838444682,40.063044914024864,42525500
2015-01-27,36.36360549926758,36.82390508510245,35.89478329221402,36.610803786290134,169164000
2015-01-28,35.110557556152344,36.47440738194732,35.08498644903329,36.431787786193325,84507100
2015-01-29,35.809539794921875,35.90330488397761,34.7696076976698,34.88894390131613,63585300
2015-01-30,34.43716049194336,35.44299857003973,34.39453764408609,35.41742421099202,78004900
2015-02-02,35.18727111816406,35.26398768462323,34.29224667725142,34.59911294308808,50352500
2015-02-03,35.46004104614258,35.74133621209748,34.99121902121759,35.485615403198985,52082400
2015-02-04,35.66461944580078,35.98000833329835,35.25546550350668,35.74985863107045,41614800
2015-02-05,36.184593200683594,36.34654898142778,35.68167411644243,35.9885404392563,36548200
2015-02-06,36.15048599243164,36.474400713946245,35.92886218402657,36.3806356694289,34616600
2015-02-09,36.10786819458008,36.431782932153325,35.98000617268724,36.00558052806558,31381100
2015-02-10,36.31245422363281,36.45736477457328,35.95444565954563,36.43179366332912,29670700
2015-02-11,36.12492752075195,36.35507727821906,35.980016969013136,36.35507727821906,38262500
2015-02-12,36.73012161254883,36.73012161254883,36.23572528591386,36.363587301882525,33268800
2015-02-13,37.39501190185547,37.39501190185547,36.78128242334104,36.9773352117786,40264900
2015-02-17,37.412174224853516,37.77273053532858,37.077367726088404,37.74697744881109,33695700
2015-02-18,37.36924743652344,37.51518923228707,37.249062001663674,37.45509651485719,27111700
2015-02-19,37.343505859375,37.36925895340826,36.957193074833555,37.06879527365853,27603400
2015-02-20,37.65254211425781,37.669711928844485,37.16321386036313,37.35207527120197,29721100
2015-02-23,37.90149688720703,37.93583323919379,37.47226137670551,37.51518427279425,32518800
2015-02-24,37.84998321533203,38.03026132363362,37.70404145517835,37.901492649763924,25271700
2015-02-25,37.76414108276367,37.8499868736407,37.60102949536749,37.72980145649005,29759800
2015-02-26,37.824241638183594,37.97018016791169,37.678299833647806,37.7641489171417,28957300
2015-02-27,37.64396667480469,37.94443360650047,37.480858300324066,37.88434087512296,33807700
2015-03-02,37.66971206665039,37.93583600669916,37.38641503714484,37.48943065023445,31924000
2015-03-03,37.154632568359375,37.626794349225996,36.991524218937656,37.39500673174813,31748600
2015-03-04,36.96577072143555,37.09453943540312,36.81124564482829,36.92284454197198,25748700
2015-03-05,37.008689880371094,37.12029204102703,36.75973247383378,36.9743502501989,23193500
2015-03-06,36.36484146118164,37.008694877208775,36.18456329064792,36.914262518888876,36248800
2015-03-09,36.785491943359375,37.02586612147543,36.21890104641315,36.21890104641315,32108000
2015-03-10,36.08154296875,36.665303638332716,36.08154296875,36.35625348681155,39159700
2015-03-11,36.03862380981445,36.373427083822506,35.918438355022644,36.32192090308775,32215300
2015-03-12,35.214473724365234,35.755311262441545,35.077118523006874,35.480600859724824,59992500
2015-03-13,35.52352523803711,35.600787746721444,34.86250228036144,34.939764789045775,58007700
2015-03-16,35.678062438964844,35.746738428577004,35.437688288303356,35.60079990389643,35273500
2015-03-17,35.79825210571289,35.90985428617466,35.32609356887801,35.514955018727186,31673400
2015-03-18,36.485023498535156,36.76832054701962,35.48061383530662,35.566459639497815,44194800
2015-03-19,36.304752349853516,36.56229308692711,36.24465962036328,36.278995983780455,33879100
2015-03-20,36.811248779296875,36.89709459591834,36.47644550974197,36.5365382363386,71904500
2015-03-23,36.7940788269043,37.02586646070703,36.725399554011055,36.81124864512761,26246100
2015-03-24,36.828407287597656,37.06019157625637,36.69963532740327,36.725388409519354,25513300
2015-03-25,35.59221267700195,36.85416630068915,35.57504286122575,36.84557975539729,43469900
2015-03-26,35.37759780883789,35.72098760305891,35.12864037176804,35.386184354837695,37495600
2015-03-27,35.17155838012695,35.566454259362594,35.051372962516716,35.30032706693491,34401400
2015-03-30,35.1629753112793,35.66089011893865,35.12005241143457,35.283160740767464,35049700
2015-03-31,34.90544128417969,35.223074733283966,34.8024256499744,35.00845691838497,34887200
2015-04-01,34.95694351196289,34.991279866394244,34.604970499284995,34.85392462424695,36865300
2015-04-02,34.58779525756836,34.97410783886942,34.44185349360717,34.905428591168445,37487500
2015-04-06,35.66948318481445,35.86693119817076,34.493378377079814,34.63073365918891,39223700
2015-04-07,35.65230941772461,35.978529404667256,35.46344797249077,35.72098868857901,28809400
2015-04-08,35.55787658691406,35.78966421076695,35.23165987909844,35.5922162218866,24753400
2015-04-09,35.609375,35.729560410337,35.411927072331096,35.411927072331096,25723900
2015-04-10,35.81541061401367,36.012858547983086,35.54928342919911,35.73814809421634,28022000
2015-04-13,35.849754333496094,36.10729830229628,35.532120920065495,35.540707465589556,30276700
2015-04-14,35.75533676147461,36.08155355058932,35.53213235333438,35.884105512501364,24244400
2015-04-15,36.278995513916016,36.45069042801077,35.78108386533014,35.849759866083176,27343600
2015-04-16,36.193145751953125,36.34767083032603,35.90126541222738,36.01286758545398,22509700
2015-04-17,35.72956848144531,35.832587377697116,35.33467253690273,35.77249138414645,42387600
2015-04-20,36.83700180053711,37.060202888220935,35.781082538986425,35.824005447217004,46057700
2015-04-21,36.60521697998047,37.04303919208636,36.51078460972985,36.914267182688576,26013800
2015-04-22,36.905677795410156,37.025863237703525,36.52794837699363,36.63096400255827,25064300
2015-04-23,37.206138610839844,37.437926207082974,36.742563418353576,36.81982595043462,46309500
2015-04-24,41.09500503540039,41.326792593765425,39.18920168018827,39.19778494910242,130933700
2015-04-27,41.23236846923828,41.31821754950315,40.53700893053438,40.545592201157085,59248200
2015-04-28,42.20244216918945,42.24536507230379,40.94907505932827,41.0177510493497,60730800
2015-04-29,42.11660385131836,42.33122167985682,41.635858736461266,41.82472347351372,47804600
2015-04-30,41.75604248046875,42.528667941378686,41.72170284335985,41.80755193613209,64725500
